company,location,total_laid_off,date,percentage_laid_off,industry,source,notes
Uber,Various,6479,06-Jan-2023,0.63,Other,https://example.com/x49668,
META PLATFORMS,SF Bay Area,N/A,03-Aug-2024,0.19,Other,https://example.com/x42136,
microsoft corp.,SF Bay Area,1791,2024-08-16,,Finance,https://example.com/x75418,synthetic
UBER,Austin,N/A,2023/04/07,,Other,https://example.com/x33309,
meta platforms,NYC,2470,"March 16, 2024",0.52,Tech,https://example.com/x56705,
CRM,  ,3879,06/24/2024,0.63,Tech,https://example.com/x89596,
  Meta Platforms  ,  ,"3,142",2024/05/28,0.90,Tech,https://example.com/x67610,synthetic
Soylent Corp,NYC,129,02-Dec-2024,,Other,,no_mapping
Initech Solutions,NYC,233,"March 08, 2025",,Other,,no_mapping
Amazon.com Inc.,Seattle,1095,2023/04/16,0.20,Other,https://example.com/x84453,synthetic
microsoft corp.,  ,1363,22-Jun-2024,0.71,Consumer,https://example.com/x82041,
Globex Industries,NYC,200,08/12/2023,,Other,,no_mapping
Microsoft,SF Bay Area,3848,2023/07/08,,Consumer,https://example.com/x51177,
Tesla,Remote,4309,23-Jan-2024,0.29,Other,https://example.com/x15484,
CRM,Seattle,27,2024/01/17,0.27,Finance,https://example.com/x62532,
Microsoft,SF Bay Area,6254,07-Aug-2024,,Consumer,https://example.com/x39136,
apple inc.,Various,"3,304",01-May-2024,0.65,Finance,https://example.com/x1234,synthetic
meta platforms,Seattle,4477,"January 26, 2024",0.87,Tech,https://example.com/x79068,
AMAZON.COM,Various,"8,615",06-Jun-2024,,Consumer,https://example.com/x90522,
Lyft,Austin,3115,2025-03-09,,,https://example.com/x24610,
CRM,Austin,4638,2023-11-17,,Finance,https://example.com/x68397,
Apple Computer,  ,8122.0,2023-07-25,0.14,Consumer,https://example.com/x46118,synthetic
Salesforce Inc.,Austin,N/A,09/16/2023,,,https://example.com/x45689,
Apple Computer,Remote,9784.0,2023/07/13,0.04,Consumer,https://example.com/x27160,
AMZN,X,100,not-a-date,,Tech,,bad_date
"Uber Technologies, Inc.",SF Bay Area,  3024  ,05/20/2024,0.20,Finance,https://example.com/x9662,
META,SF Bay Area,"11,373",29-Jun-2023,0.64,Other,https://example.com/x1384,
google llc,Remote,  1677  ,19-Aug-2024,0.26,Consumer,https://example.com/x92988,
Salesforce,NYC,11802,"March 10, 2023",,Other,https://example.com/x12610,synthetic
ABNB,  ,  6917  ,09/01/2023,,Consumer,https://example.com/x42083,
Apple Inc.,SF Bay Area,11116,13-Mar-2023,0.66,Other,https://example.com/x55241,
Lyft,Austin,10553,"June 13, 2024",0.54,Tech,https://example.com/x17516,
ABNB,Seattle,"1,817",17-Jan-2025,0.40,,https://example.com/x36485,
GOOGL,Seattle,8170,2023/11/17,0.27,Finance,https://example.com/x23451,synthetic
TESLA,SF Bay Area,6466,2024-02-04,0.12,Finance,https://example.com/x92676,
AMAZON.COM,SF Bay Area,8108.0,"October 23, 2024",0.40,Tech,https://example.com/x86315,synthetic
salesforce.com,  ,"2,348",2024/11/29,,Other,https://example.com/x25714,
"Uber Technologies, Inc.",NYC,323,02/07/2023,,Other,https://example.com/x9289,
meta platforms,Austin,6918.0,"September 26, 2024",0.41,,https://example.com/x4322,
Google LLC,SF Bay Area,5478,02/26/2025,0.87,Finance,https://example.com/x38631,synthetic
Alphabet,  ,"8,338","January 09, 2024",0.89,Other,https://example.com/x3628,
Google LLC,X,100,not-a-date,,Tech,,bad_date
Airbnb,Seattle,  10892  ,18-Nov-2023,,,https://example.com/x40503,synthetic
MICROSOFT CORP,Various,23,15-May-2024,,Other,https://example.com/x81807,synthetic
Amazon.com Inc.,Remote,999.0,08/19/2023,,Tech,https://example.com/x71540,
google llc,  ,799,2024-03-19,0.44,Other,https://example.com/x64094,synthetic
Microsoft Corporation,Seattle,  8350  ,"March 08, 2024",0.18,Consumer,https://example.com/x7738,
TESLA,NYC,  1800  ,2024/01/08,0.37,Tech,https://example.com/x2196,
Globex Industries,NYC,397,07/27/2023,,Other,,no_mapping
"Uber Technologies, Inc.",  ,8607.0,01-Aug-2023,,Tech,https://example.com/x57956,
CRM,Remote,6951,2025/02/21,0.60,Finance,https://example.com/x47538,
Google,Remote,"10,221",2024-10-22,0.25,Finance,https://example.com/x98256,
uber technologies,SF Bay Area,4155,"May 26, 2024",,Consumer,https://example.com/x34416,synthetic
microsoft corp.,  ,"6,131",2023/08/02,0.32,,https://example.com/x97992,synthetic
Amazon.com Inc.,Austin,672,"August 24, 2023",0.91,Finance,https://example.com/x87835,synthetic
MSFT,Austin,N/A,"October 01, 2023",,,https://example.com/x43656,
Uber,Austin,"3,926",11-Jun-2023,,,https://example.com/x61060,
google llc,  ,N/A,07-Nov-2024,0.18,Finance,https://example.com/x68432,
Apple Computer,  ,  6911  ,05/11/2024,0.47,Finance,https://example.com/x56413,synthetic
amazon.com,X,100,not-a-date,,Tech,,bad_date
TESLA,NYC,3834,04/07/2024,0.63,,https://example.com/x26122,synthetic
MSFT,Austin,5443.0,"November 24, 2023",,Consumer,https://example.com/x25670,
LYFT INC,NYC,N/A,08/26/2024,0.59,,https://example.com/x47074,
microsoft corp.,SF Bay Area,N/A,"June 30, 2024",0.89,Consumer,https://example.com/x37873,
Salesforce Inc.,X,100,not-a-date,,Tech,,bad_date
Salesforce Inc.,Various,"10,174",27-Nov-2024,,,https://example.com/x98180,
Google,Remote,"10,252",2024-10-22,0.25,Finance,https://example.com/x98256,
AMZN,  ,  1734  ,08/20/2023,,Finance,https://example.com/x49403,
Salesforce Inc.,Various,11766.0,06/02/2024,,,https://example.com/x5315,
Apple Inc.,  ,3052,"September 12, 2024",,Tech,https://example.com/x75417,
AMAZON.COM,Remote,4420,04/30/2023,,Finance,https://example.com/x25411,
Globex Industries,NYC,99,"August 05, 2023",,Other,,no_mapping
"Tesla, Inc.",NYC,  11721  ,"October 20, 2023",,Other,https://example.com/x53059,
Tesla,Various,6942.0,30-Jan-2025,,Finance,https://example.com/x7107,
Microsoft Corporation,X,100,not-a-date,,Tech,,bad_date
Tesla,NYC,N/A,2024-10-13,,Finance,https://example.com/x36573,
Alphabet Inc.,Various,7748,01/04/2025,0.05,,https://example.com/x2257,synthetic
MICROSOFT CORP,Various,711.0,"January 29, 2024",0.59,Other,https://example.com/x34494,
meta platforms,SF Bay Area,"6,182",2024/03/20,,Tech,https://example.com/x96799,synthetic
MICROSOFT CORP,Austin,7739,25-Feb-2025,0.81,Tech,https://example.com/x36206,
Salesforce,Seattle,"10,154",14-Apr-2023,0.03,,https://example.com/x5893,
TESLA,SF Bay Area,4876.0,03/07/2025,0.17,Finance,https://example.com/x76687,synthetic
"Lyft, Inc.",NYC,61.0,2023-03-31,,Finance,https://example.com/x74242,
Amazon.com Inc.,  ,4568.0,2024/07/17,,Other,https://example.com/x87799,synthetic
META,  ,"2,989","September 26, 2024",,Other,https://example.com/x15041,synthetic
AMAZON.COM,Various,  8632  ,06-Jun-2024,,Consumer,https://example.com/x90522,
Airbnb Inc.,Remote,3323.0,2023-03-16,0.05,Finance,https://example.com/x84558,synthetic
  Apple Inc  ,Austin,1248,2023/12/17,0.01,Consumer,https://example.com/x34043,
Hooli Labs,NYC,384,09/13/2024,,Other,,no_mapping
Airbnb,SF Bay Area,  9543  ,22-May-2023,0.35,Finance,https://example.com/x58385,synthetic
"Meta Platforms, Inc.",Seattle,9775,20-Feb-2023,0.01,Finance,https://example.com/x47851,
"Meta Platforms, Inc.",Various,  1082  ,2024-11-14,0.80,Finance,https://example.com/x46103,
ABNB,NYC,8013.0,2024/12/12,,Finance,https://example.com/x23106,synthetic
Apple Inc.,  ,7445,2025/03/17,0.81,,https://example.com/x29430,
"Lyft, Inc.",SF Bay Area,8530,06/21/2024,,Tech,https://example.com/x74825,
Airbnb,Austin,7526,12/29/2023,,Other,https://example.com/x69359,
Salesforce,Seattle,8236,09-Oct-2024,0.93,Tech,https://example.com/x4283,
Airbnb,Remote,"8,541",08/05/2024,0.87,Finance,https://example.com/x77731,
airbnb inc,Seattle,7831,2023-11-20,0.91,Consumer,https://example.com/x35880,synthetic
salesforce.com,Seattle,  1086  ,12/09/2024,0.87,,https://example.com/x61011,
Amazon,Austin,2882.0,2023/06/26,,Other,https://example.com/x68341,
Apple Computer,Various,N/A,04-Dec-2024,,,https://example.com/x75849,synthetic
Tesla,Various,"6,572",31-Jul-2024,,Other,https://example.com/x85152,
amazon.com,NYC,  7753  ,16-Feb-2023,0.15,Finance,https://example.com/x75338,
microsoft corp.,Austin,  8187  ,2025/02/13,0.38,Finance,https://example.com/x68151,
apple inc.,Remote,  614  ,2023/07/28,,Tech,https://example.com/x38463,synthetic
Salesforce Inc.,SF Bay Area,11832.0,"November 02, 2024",0.89,Tech,https://example.com/x13030,synthetic
MSFT,Seattle,N/A,2023-03-02,0.74,Consumer,https://example.com/x94274,
Alphabet Inc.,Austin,952.0,2024-09-02,0.17,Finance,https://example.com/x56141,
"Lyft, Inc.",Austin,6318.0,06/18/2023,0.25,Consumer,https://example.com/x36379,
Google LLC,  ,9944.0,01-Jun-2024,0.41,Finance,https://example.com/x81729,synthetic
AMAZON.COM,Remote,"4,425",04/30/2023,,Finance,https://example.com/x25411,
Meta,Seattle,1781,2023-11-10,0.78,Consumer,https://example.com/x11023,synthetic
UBER,Remote,4322,01/10/2024,0.10,Finance,https://example.com/x25311,
LYFT INC,Various,  8416  ,2023-07-08,0.95,Other,https://example.com/x3121,
apple inc.,SF Bay Area,523,03/22/2023,,Finance,https://example.com/x27764,
TESLA,  ,  7645  ,03/07/2025,,Other,https://example.com/x32107,
Microsoft,Austin,  10303  ,18-Dec-2023,,,https://example.com/x8705,
META PLATFORMS,Various,10012,2023-07-09,,,https://example.com/x54190,synthetic
AMZN,  ,"6,646",2023/02/12,0.56,,https://example.com/x72918,
"Uber Technologies, Inc.",Austin,3125,04/28/2023,0.02,,https://example.com/x20002,synthetic
uber technologies,Remote,10869,2025-03-15,,Tech,https://example.com/x49215,
"Meta Platforms, Inc.",SF Bay Area,5332,2024/09/05,0.49,,https://example.com/x40588,synthetic
Google,NYC,  5189  ,04/28/2023,0.91,,https://example.com/x46561,
uber technologies,Remote,  7902  ,2023-01-23,,Other,https://example.com/x39518,
Meta,SF Bay Area,  200  ,2024-03-15,0.37,Tech,https://example.com/a0,
TESLA,  ,9280.0,2024/04/19,0.73,Other,https://example.com/x294,
LYFT,NYC,9380,19-Jun-2024,0.12,Tech,https://example.com/x11590,synthetic
  Apple Inc  ,SF Bay Area,11052,07/29/2023,0.11,Other,https://example.com/x5816,synthetic
Soylent Corp,NYC,319,"December 25, 2023",,Other,,no_mapping
ABNB,  ,11053,26-Jan-2024,0.59,Other,https://example.com/x11684,
GOOGL,Austin,2006,2025-01-05,0.56,,https://example.com/x23918,synthetic
 Tesla Inc ,SF Bay Area,10338.0,"March 31, 2024",,Finance,https://example.com/x18286,
tesla motors,Austin,4517.0,2024/09/02,0.19,Other,https://example.com/x50157,
LYFT INC,  ,4077,2023-05-12,,Finance,https://example.com/x67625,
"Airbnb, Inc.",  ,6425,26-Oct-2024,,Finance,https://example.com/x61433,synthetic
Microsoft,SF Bay Area,7600,2023-06-29,0.06,Consumer,https://example.com/x82084,
Alphabet Inc.,NYC,3013,"April 20, 2023",0.28,Tech,https://example.com/x9282,
Uber,Austin,N/A,"August 05, 2024",0.34,Other,https://example.com/x94062,synthetic
Soylent Corp,NYC,389,10/02/2023,,Other,,no_mapping
TESLA,SF Bay Area,"6,239",2023-11-22,0.69,,https://example.com/x80611,synthetic
Apple Inc.,Austin,"10,532",2024/02/14,0.78,Other,https://example.com/x49617,
CRM,Seattle,1279,"October 04, 2023",0.30,,https://example.com/x18338,
Alphabet Inc.,Remote,4676,"June 08, 2023",0.95,Consumer,https://example.com/x67929,
Salesforce,Seattle,  4633  ,09-Dec-2024,0.64,Tech,https://example.com/x11698,
Salesforce,  ,"10,610",2023/05/22,,Other,https://example.com/x77736,synthetic
Lyft,SF Bay Area,"2,505",2025/02/17,,Other,https://example.com/x50884,
Globex Industries,NYC,350,18-Dec-2023,,Other,,no_mapping
apple inc.,NYC,7730,2023-10-11,0.70,Other,https://example.com/x36499,
apple inc.,NYC,3709.0,08/22/2024,0.28,Other,https://example.com/x27088,
uber technologies,NYC,2172,"October 16, 2024",0.51,Tech,https://example.com/x74135,synthetic
Apple,NYC,8843,"September 03, 2023",0.40,Tech,https://example.com/x43780,
CRM,NYC,1372,2023/09/17,0.19,Consumer,https://example.com/x94618,
"Airbnb, Inc.",Seattle,"7,080",2024-06-02,,Tech,https://example.com/x58869,
AMZN,Remote,  1685  ,2024/04/29,,,https://example.com/x29788,
Amazon,Austin,11143,04-Sep-2023,,Consumer,https://example.com/x58150,
"Airbnb, Inc.",Seattle,10332,2023-12-09,0.91,,https://example.com/x46666,synthetic
Soylent Corp,NYC,428,2023-06-22,,Other,,no_mapping
  Meta Platforms  ,NYC,"2,505",2024/05/10,0.30,,https://example.com/x33059,
amazon.com,Seattle,11590,2025-02-19,0.54,Consumer,https://example.com/x55594,synthetic
Hooli Labs,NYC,132,2025-03-24,,Other,,no_mapping
MSFT,NYC,2858.0,07/01/2023,,Consumer,https://example.com/x62729,
"Meta Platforms, Inc.",NYC,  8548  ,2023-09-15,0.18,Tech,https://example.com/x24868,
Amazon,SF Bay Area,11545.0,2023/07/28,0.52,,https://example.com/x89763,
apple inc.,NYC,7693.0,2023-10-11,0.70,Other,https://example.com/x36499,
"Airbnb, Inc.",Seattle,673,28-Jan-2023,0.16,Finance,https://example.com/x5635,synthetic
Initech Solutions,NYC,253,12-Jun-2024,,Other,,no_mapping
tesla motors,NYC,3886.0,2023/06/30,0.40,Tech,https://example.com/x96915,
AMZN,  ,"11,176",2024/01/26,,Consumer,https://example.com/x35237,synthetic
Salesforce Inc.,  ,5915,"June 18, 2023",0.35,,https://example.com/x20285,synthetic
"Meta Platforms, Inc.",Austin,"6,327",16-Jun-2023,0.99,Consumer,https://example.com/x54935,
Salesforce Inc.,Austin,10775.0,10/24/2024,0.78,Finance,https://example.com/x82019,
Airbnb,Various,"10,510",2024/11/07,0.88,Tech,https://example.com/x13554,
Salesforce,Austin,N/A,2024-05-24,,Other,https://example.com/x57974,
Apple Inc.,  ,11173.0,2023/10/31,,Finance,https://example.com/x90714,
"Meta Platforms, Inc.",  ,  258  ,13-Feb-2024,,Consumer,https://example.com/x50271,
Meta,X,100,not-a-date,,Tech,,bad_date
Amazon,X,100,not-a-date,,Tech,,bad_date
Airbnb,SF Bay Area,5940,2024-09-23,,,https://example.com/x34932,
Lyft,NYC,  11969  ,12-Apr-2024,,Tech,https://example.com/x39225,
APPLE INC,Austin,14,"August 09, 2024",,Other,https://example.com/x24027,synthetic
Microsoft,Remote,  4575  ,2025/03/17,0.75,Consumer,https://example.com/x40099,
Amazon.com Inc.,Various,"6,128",2024/12/03,0.10,Consumer,https://example.com/x41661,
"Meta Platforms, Inc.",Remote,5765,07/01/2024,,Consumer,https://example.com/x73527,
GOOGL,Seattle,  9854  ,"January 23, 2024",,,https://example.com/x83769,
ABNB,SF Bay Area,"5,943",2025-02-20,0.06,Tech,https://example.com/x37830,
amazon.com,Seattle,9624,2023/10/24,0.80,,https://example.com/x37988,
Airbnb Inc.,Austin,7081,10-Jan-2024,,Consumer,https://example.com/x29370,synthetic
ABNB,Various,10946,2024/06/07,0.24,Tech,https://example.com/x3763,
Initech Solutions,NYC,397,16-Mar-2024,,Other,,no_mapping
Apple Computer,SF Bay Area,6766,"April 11, 2024",,Tech,https://example.com/x71122,synthetic
Tesla,Austin,3532,09-Feb-2023,0.72,Finance,https://example.com/x12830,
MICROSOFT CORP,Seattle,179,06/29/2023,0.42,Consumer,https://example.com/x71343,synthetic
AMZN,  ,N/A,26-Jan-2024,0.00,Finance,https://example.com/x63039,
Salesforce,Various,920,05/13/2024,0.49,,https://example.com/x82128,synthetic
microsoft corp.,Remote,  1467  ,"June 10, 2024",0.80,Other,https://example.com/x96677,
Alphabet Inc.,Various,4702,2024-12-26,0.54,Other,https://example.com/x16930,
"Airbnb, Inc.",Austin,"10,651",2023-10-12,,,https://example.com/x97579,
Microsoft Corporation,SF Bay Area,857,07/05/2024,0.40,,https://example.com/x95640,
"Lyft, Inc.",SF Bay Area,"1,092",2024-08-07,,,https://example.com/x65904,
salesforce.com,Austin,3304,01/15/2024,,Consumer,https://example.com/x93397,
Initech Solutions,NYC,495,04/25/2023,,Other,,no_mapping
Salesforce Inc.,Austin,428,2024/09/27,,Consumer,https://example.com/x34589,
Apple Computer,Remote,11454.0,07/13/2023,0.81,,https://example.com/x25527,
CRM,Remote,5946.0,05/12/2023,,Tech,https://example.com/x97946,synthetic
airbnb inc,Remote,6829,02/24/2024,,Other,https://example.com/x26036,
uber technologies,Various,  10512  ,2024/07/11,0.76,,https://example.com/x74188,
"Lyft, Inc.",NYC,"3,761","January 06, 2023",,Finance,https://example.com/x28249,
salesforce.com,SF Bay Area,4673,28-Jun-2024,0.64,Tech,https://example.com/x25450,
  Apple Inc  ,Seattle,  5569  ,2024-12-21,,Consumer,https://example.com/x62265,
airbnb inc,NYC,3177,2024/09/27,,Consumer,https://example.com/x46013,
Salesforce,Various,6203,"October 19, 2024",0.14,Consumer,https://example.com/x6398,
TESLA,SF Bay Area,N/A,2024/11/20,,Finance,https://example.com/x94895,synthetic
AMZN,Austin,  692  ,"October 30, 2024",0.04,Tech,https://example.com/x55908,
"Uber Technologies, Inc.",Various,  557  ,09/13/2023,0.79,Finance,https://example.com/x55132,
Salesforce Inc.,NYC,371,2024/06/05,,Finance,https://example.com/x87345,
"Tesla, Inc.",Various,N/A,"August 21, 2023",,Finance,https://example.com/x25446,
Airbnb Inc.,Various,7240,05-Jan-2024,,Other,https://example.com/x99694,
META PLATFORMS,NYC,10633.0,02-Jul-2023,,Tech,https://example.com/x18232,synthetic
Salesforce,SF Bay Area,300,"September 08, 2023",0.46,Finance,https://example.com/x39106,
Tesla,Remote,3741.0,2024-04-26,,Tech,https://example.com/x36689,
"Lyft, Inc.",Various,  4161  ,01/19/2023,,Other,https://example.com/x91940,synthetic
"Lyft, Inc.",Austin,7223,03/22/2023,,,https://example.com/x47064,
Salesforce Inc.,NYC,4009,17-Jul-2023,0.05,Finance,https://example.com/x21072,synthetic
"Lyft, Inc.",Remote,"4,606","June 30, 2023",0.96,,https://example.com/x91746,
UBER,NYC,  4312  ,2024-09-16,,,https://example.com/x51010,
meta platforms,  ,1559,2024/06/14,,Finance,https://example.com/x11468,
Meta,  ,N/A,10/17/2023,0.17,Consumer,https://example.com/x47627,
airbnb inc,Remote,  1965  ,03/25/2023,,Finance,https://example.com/x1844,
 Tesla Inc ,SF Bay Area,N/A,"March 31, 2024",,Finance,https://example.com/x18286,
Meta Platforms Inc,X,100,not-a-date,,Tech,,bad_date
Amazon.com Inc.,Various,2687,2025/03/31,0.09,Finance,https://example.com/x97626,synthetic
  Meta Platforms  ,NYC,"6,653",11/27/2023,0.33,Other,https://example.com/x14354,
tesla motors,Various,11448,2024-09-23,0.14,Other,https://example.com/x93155,
AMZN,Austin,10223,2023/04/09,0.76,Consumer,https://example.com/x61137,
Google,Various,10113,08/15/2024,0.13,Tech,https://example.com/x62213,synthetic
LYFT INC,Various,"10,557",2024/06/07,,Tech,https://example.com/x74879,
Apple Computer,Austin,  11332  ,01/01/2025,0.52,Tech,https://example.com/x21919,
Meta,Austin,N/A,"January 01, 2025",,,https://example.com/x5710,synthetic
Lyft,Remote,4483,01/12/2023,,,https://example.com/x87619,
amazon.com,Remote,7862,17-Aug-2024,0.07,Consumer,https://example.com/x82359,
Google,Austin,7474.0,10-Aug-2024,,,https://example.com/x39746,
"Airbnb, Inc.",NYC,1738,12/06/2023,0.50,Finance,https://example.com/x81607,
"Lyft, Inc.",SF Bay Area,  2452  ,2024-12-04,0.27,Tech,https://example.com/x2924,
Alphabet,NYC,  1376  ,2024-10-13,,Tech,https://example.com/x77802,
META,SF Bay Area,"10,847",2023-08-07,0.82,Consumer,https://example.com/x29381,synthetic
ABNB,Austin,7645.0,2023/10/07,0.09,Tech,https://example.com/x77625,
"Meta Platforms, Inc.",Various,5507.0,2024/08/11,0.14,Consumer,https://example.com/x66206,
ABNB,Austin,2681.0,17-Mar-2023,,Other,https://example.com/x46782,
Salesforce,Various,11070,01/10/2023,,Consumer,https://example.com/x58723,
amazon.com,Various,2444.0,"June 06, 2023",0.18,Other,https://example.com/x43983,
Airbnb,Seattle,3315,2024-12-29,0.56,Tech,https://example.com/x92990,
  Apple Inc  ,Various,11351.0,"October 03, 2023",,Consumer,https://example.com/x5132,
"Airbnb, Inc.",  ,3683.0,"November 14, 2023",0.86,Finance,https://example.com/x63135,
CRM,  ,"11,854",2023/04/08,0.56,Other,https://example.com/x30303,synthetic
google llc,Austin,6813.0,2023-04-19,0.79,Consumer,https://example.com/x17619,
Salesforce,Various,"5,763",11-Nov-2024,0.68,Finance,https://example.com/x98776,
Hooli Labs,NYC,285,05/30/2023,,Other,,no_mapping
Soylent Corp,NYC,252,27-Mar-2024,,Other,,no_mapping
ABNB,Seattle,6233,03/01/2023,,Tech,https://example.com/x44721,synthetic
Salesforce Inc.,SF Bay Area,"6,993",20-Jan-2024,0.12,Tech,https://example.com/x66214,
Alphabet Inc.,Remote,  1742  ,2023-07-06,0.78,Finance,https://example.com/x69163,
"Uber Technologies, Inc.",Remote,6284,2024-10-22,0.94,Other,https://example.com/x25550,
 Tesla Inc ,Remote,11914,"August 26, 2023",0.39,Other,https://example.com/x45235,
 Tesla Inc ,NYC,274.0,"May 15, 2023",0.06,Tech,https://example.com/a2,
"Uber Technologies, Inc.",Austin,  3476  ,"March 24, 2023",0.63,Finance,https://example.com/x45061,
LYFT INC,Various,3907.0,27-Feb-2024,0.88,Tech,https://example.com/x90400,synthetic
Amazon,Various,1749,23-Jan-2025,,Finance,https://example.com/x68045,
airbnb inc,SF Bay Area,5887,2024/11/13,,Consumer,https://example.com/x24582,
AMZN,  ,422,28-Feb-2024,0.08,,https://example.com/a6,
Airbnb Inc.,NYC,"4,466",2024/02/13,0.43,Finance,https://example.com/x73440,synthetic
  Apple Inc  ,X,100,not-a-date,,Tech,,bad_date
UBER,Various,10905.0,03/21/2024,,Finance,https://example.com/x48944,
Microsoft Corporation,NYC,11837.0,04/03/2023,0.66,Tech,https://example.com/x78246,
Lyft,SF Bay Area,  11527  ,"April 18, 2024",,Other,https://example.com/x2203,
Airbnb,SF Bay Area,5900,2024-09-23,,,https://example.com/x34932,
Initech Solutions,NYC,315,03/17/2025,,Other,,no_mapping
 Tesla Inc ,Seattle,11889,2023-09-30,0.70,,https://example.com/x5771,synthetic
Uber,Seattle,807,04/27/2023,0.64,,https://example.com/x77619,
Tesla,SF Bay Area,9778,"August 22, 2024",0.96,,https://example.com/x63292,synthetic
Airbnb,  ,  493  ,2025-02-09,0.83,Other,https://example.com/x21779,synthetic
ABNB,SF Bay Area,5850,2024/09/06,0.90,,https://example.com/x18334,
Amazon.com Inc.,Seattle,9709,2023/05/04,0.80,Other,https://example.com/x27646,synthetic
Meta,Seattle,950,2023/12/28,,Consumer,https://example.com/x80397,
airbnb inc,Austin,  6163  ,2023/12/26,,Consumer,https://example.com/x15328,
Microsoft Corporation,Seattle,2700.0,2023-09-16,0.50,Consumer,https://example.com/x27279,
TESLA,Seattle,237,2023-05-09,0.41,Consumer,https://example.com/x62180,synthetic
LYFT INC,SF Bay Area,6705,"March 02, 2023",0.25,Other,https://example.com/x51443,synthetic
microsoft corp.,  ,6180,2023-02-02,0.05,Other,https://example.com/x42323,
LYFT INC,  ,508,19-Sep-2023,0.46,Tech,https://example.com/x59117,
